number,value,datetime_start,datetime_complete,duration,params_activation,params_lbfgs_memory,params_lbfgs_tol,params_lr_adamw,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_adamw,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_lbfgs_loss_evaluations,user_attrs_lbfgs_n_iter,user_attrs_lbfgs_nfev_grad,user_attrs_lbfgs_nfev_plain,user_attrs_lbfgs_status,user_attrs_training_time,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,state
15,0.00018191366157120615,2026-07-31 10:55:01.157280,2026-07-31 10:59:21.589610,0 days 00:04:20.432330,tanh,17,2.2280405336323637e-09,0.00021914805291808694,5,109,32,71,98.0,127.0,7.087963161648778e-07,7.756731720179624e-06,5.1697093000795565e-05,2.3516429575165947e-06,0.00018191366157120615,9.37650268947443e-05,34.0,0.0,1.0,32.0,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),260.0228737060097,0.024854274962286385,0.024854274962286385,0.024854274962286385,0.0006814498652507643,0.00033641259815986617,,,COMPLETE
16,0.006390168730049958,2026-07-31 10:59:21.621411,2026-07-31 10:59:43.716089,0 days 00:00:22.094678,tanh,11,1.2473938862800277e-10,0.0023368046684652632,4,78,83,44,63.0,,1.0644003960788525e-05,,,,,,,,,,,,0.006390168730049958,,,,,,,PRUNED
17,0.06469503476759444,2026-07-31 10:59:43.721080,2026-07-31 11:00:11.385688,0 days 00:00:27.664608,tanh,13,1.0041059530148489e-09,0.0008346611675922259,5,116,51,107,107.0,86.0,5.270750513864844e-05,,,,,,,,,,,,0.06469503476759444,,,,,,,PRUNED
18,0.004259660608086765,2026-07-31 11:00:11.395576,2026-07-31 11:01:08.824862,0 days 00:00:57.429286,swish,15,6.460804625853703e-09,0.005450721698389966,4,89,108,93,75.0,,5.9780573538311055e-06,,,,,,,,,,,,0.004259660608086765,0.004259660608086765,,,,,,PRUNED
19,0.0011911305511056144,2026-07-31 11:01:08.835093,2026-07-31 11:02:26.985405,0 days 00:01:18.150312,tanh,18,2.7196432491328644e-10,0.00234003839058117,5,63,94,127,53.0,32.0,1.0544167107601103e-06,,,,,,,,,,,,0.008119224756002661,0.008119224756002661,0.008119224756002661,0.0011911305511056144,,,,PRUNED
20,0.029368806229179555,2026-07-31 11:02:27.000444,2026-07-31 11:02:49.451282,0 days 00:00:22.450838,tanh,10,7.690222266988317e-10,0.0007738631410147271,4,111,77,64,110.0,,0.0009074966324558192,,,,,,,,,,,,0.029368806229179555,,,,,,,PRUNED
21,0.21610437063259755,2026-07-31 11:02:49.461499,2026-07-31 11:03:16.500399,0 days 00:00:27.038900,tanh,18,3.900950919213165e-09,0.000184239647897869,5,110,34,74,96.0,128.0,2.8478369121551555e-07,,,,,,,,,,,,0.21610437063259755,,,,,,,PRUNED
22,0.07066694834194137,2026-07-31 11:03:16.509960,2026-07-31 11:03:43.060894,0 days 00:00:26.550934,tanh,18,1.634566824679358e-09,0.0002750461667997159,5,102,41,70,97.0,105.0,1.2000726500059287e-06,,,,,,,,,,,,0.07066694834194137,,,,,,,PRUNED
23,0.07762621958443225,2026-07-31 11:03:43.070294,2026-07-31 11:04:07.900316,0 days 00:00:24.830022,tanh,17,2.691395004072049e-10,0.0004496065248247223,5,87,59,82,110.0,56.0,5.98349671394771e-07,,,,,,,,,,,,0.07762621958443225,,,,,,,PRUNED
24,0.1430382541115076,2026-07-31 11:04:07.911271,2026-07-31 11:04:32.313836,0 days 00:00:24.402565,tanh,14,1.0186396343966475e-10,0.0001943541674044612,5,116,40,49,87.0,106.0,2.556343128061588e-05,,,,,,,,,,,,0.1430382541115076,,,,,,,PRUNED
25,0.015130167778470332,2026-07-31 11:04:32.323422,2026-07-31 11:04:59.292780,0 days 00:00:26.969358,tanh,19,2.036287029024748e-09,0.0009589038005509934,5,71,57,68,126.0,103.0,1.4824522730226833e-07,,,,,,,,,,,,0.015130167778470332,,,,,,,PRUNED
26,0.1746141903640368,2026-07-31 11:04:59.303969,2026-07-31 11:05:52.877114,0 days 00:00:53.573145,swish,16,7.692131246402289e-09,0.0005419130080887806,4,105,39,101,68.0,,4.787859266412084e-06,,,,,,,,,,,,0.1746141903640368,,,,,,,PRUNED
27,0.0024282123995202002,2026-07-31 11:05:52.887065,2026-07-31 11:06:17.252327,0 days 00:00:24.365262,tanh,5,4.21557303021706e-10,0.0018765177687598738,5,92,72,116,32.0,55.0,1.5243616176301548e-06,,,,,,,,,,,,0.0024282123995202002,0.0024282123995202002,,,,,,PRUNED
28,0.1321500154169456,2026-07-31 11:06:17.262685,2026-07-31 11:06:38.697364,0 days 00:00:21.434679,tanh,13,1.8245012455733038e-10,0.00027101301415047155,4,117,45,80,116.0,,5.649820105373273e-07,,,,,,,,,,,,0.1321500154169456,,,,,,,PRUNED
29,6.903792189849962e-05,2026-07-31 11:06:38.708066,2026-07-31 11:11:05.599649,0 days 00:04:26.891583,tanh,7,8.037002178509004e-10,0.0032077768201605452,5,98,53,64,90.0,90.0,1.8264509439531423e-05,3.045326758528896e-06,4.336397734911245e-05,9.353498180540026e-07,6.903792189849962e-05,2.2775801250758892e-05,34.0,0.0,1.0,32.0,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),266.48549263499444,0.001981516396913714,0.001981516396913714,0.001981516396913714,0.0005434177733085921,8.216001257400912e-05,,,COMPLETE
