number,value,datetime_start,datetime_complete,duration,params_activation,params_lbfgs_memory,params_lbfgs_tol,params_lr_adamw,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_adamw,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_lbfgs_loss_evaluations,user_attrs_lbfgs_n_iter,user_attrs_lbfgs_nfev_grad,user_attrs_lbfgs_nfev_plain,user_attrs_lbfgs_status,user_attrs_training_time,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,state
15,0.7755773977153219,2026-07-31 13:01:30.712838,2026-07-31 13:01:57.419272,0 days 00:00:26.706434,tanh,17,2.2280405336323637e-09,0.00021914805291808694,5,109,32,71,98.0,127.0,7.087963161648778e-07,,,,,,,,,,,,0.7755773977153219,,,,,,,PRUNED
16,0.7252758785584623,2026-07-31 13:01:57.429037,2026-07-31 13:02:20.094728,0 days 00:00:22.665691,tanh,11,1.2473938862800277e-10,0.0023368046684652632,4,78,83,44,63.0,,1.0644003960788525e-05,,,,,,,,,,,,0.7252758785584623,0.7252758785584623,0.7252758785584623,,,,,PRUNED
17,0.22359265708869439,2026-07-31 13:02:20.103709,2026-07-31 13:05:53.954536,0 days 00:03:33.850827,tanh,13,1.0041059530148489e-09,0.0008346611675922259,5,116,51,107,107.0,86.0,5.270750513864844e-05,,,,,,,,,,,,0.7487360728984609,0.7487360728984609,0.7487360728984609,0.7487360728984609,0.3466220043297298,0.22359265708869439,,PRUNED
18,0.7781123549617627,2026-07-31 13:05:53.979590,2026-07-31 13:06:48.081664,0 days 00:00:54.102074,swish,15,6.460804625853703e-09,0.005450721698389966,4,89,108,93,75.0,,5.9780573538311055e-06,,,,,,,,,,,,0.7781123549617627,,,,,,,PRUNED
19,0.8026861292874787,2026-07-31 13:06:48.092651,2026-07-31 13:07:15.123401,0 days 00:00:27.030750,tanh,18,2.7196432491328644e-10,0.00234003839058117,5,63,94,127,53.0,32.0,1.0544167107601103e-06,,,,,,,,,,,,0.8026861292874787,,,,,,,PRUNED
20,0.8000592661094197,2026-07-31 13:07:15.133953,2026-07-31 13:07:37.292306,0 days 00:00:22.158353,tanh,10,7.690222266988317e-10,0.0007738631410147271,4,111,77,64,110.0,,0.0009074966324558192,,,,,,,,,,,,0.8000592661094197,,,,,,,PRUNED
21,0.527817689588286,2026-07-31 13:07:37.302631,2026-07-31 13:10:23.420700,0 days 00:02:46.118069,swish,20,4.553727373930547e-09,0.0026001633770694295,4,126,34,35,127.0,,1.2290534307251396e-07,,,,,,,,,,,,0.7291703874527622,0.7291703874527622,0.7291703874527622,0.7291703874527622,0.527817689588286,,,PRUNED
22,0.6797025023110566,2026-07-31 13:10:23.435503,2026-07-31 13:11:19.963514,0 days 00:00:56.528011,swish,18,2.8552570235290047e-09,0.003496813451423601,4,89,40,46,115.0,,1.33809399401687e-07,,,,,,,,,,,,0.6797025023110566,0.6797025023110566,0.6797025023110566,0.6797025023110566,,,,PRUNED
23,0.7689114255941987,2026-07-31 13:11:19.973540,2026-07-31 13:12:01.098145,0 days 00:00:41.124605,swish,19,8.720028722060544e-09,0.006904769322471227,3,118,58,35,,,2.3338934350649995e-07,,,,,,,,,,,,0.7689114255941987,,,,,,,PRUNED
24,0.7110856199481883,2026-07-31 13:12:01.107800,2026-07-31 13:12:55.585489,0 days 00:00:54.477689,swish,14,1.8564697079780942e-10,0.00316270746375462,4,103,45,32,97.0,,2.264111924025684e-05,,,,,,,,,,,,0.7110856199481883,0.7110856199481883,,,,,,PRUNED
25,0.6905176460000042,2026-07-31 13:12:55.595879,2026-07-31 13:14:02.563561,0 days 00:01:06.967682,swish,18,2.1196325642426383e-07,0.0020780293751062155,5,72,57,44,120.0,101.0,3.3143487085749484e-07,,,,,,,,,,,,0.6905176460000042,0.6905176460000042,0.6905176460000042,,,,,PRUNED
26,0.48895494238852133,2026-07-31 13:14:02.573912,2026-07-31 13:16:50.068764,0 days 00:02:47.494852,swish,5,1.3976831339729373e-09,0.0011577784289300752,4,120,38,117,107.0,,7.398089257555061e-05,,,,,,,,,,,,0.7103176248766032,0.7103176248766032,0.7103176248766032,0.7103176248766032,0.48895494238852133,,,PRUNED
27,0.39520301563692506,2026-07-31 13:16:50.083055,2026-07-31 13:17:44.247268,0 days 00:00:54.164213,tanh,20,3.9998288760296376e-10,0.005336842100723897,3,105,40,84,,,1.4461000128328064e-06,,,,,,,,,,,,0.7274947204299964,0.7274947204299964,0.7274947204299964,0.39520301563692506,,,,PRUNED
28,0.6845703052250984,2026-07-31 13:17:44.261791,2026-07-31 13:18:54.518299,0 days 00:01:10.256508,swish,16,3.084338302424908e-09,0.0018544432143063458,5,93,73,68,87.0,56.0,6.036747738898893e-06,,,,,,,,,,,,0.6845703052250984,0.6845703052250984,0.6845703052250984,,,,,PRUNED
29,0.9257418991321141,2026-07-31 13:18:54.528274,2026-07-31 13:19:16.989564,0 days 00:00:22.461290,tanh,7,1.4543798959070213e-08,0.0004707185622663264,4,68,53,56,70.0,,3.465514907107497e-05,,,,,,,,,,,,0.9257418991321141,,,,,,,PRUNED
