number,value,datetime_start,datetime_complete,duration,params_activation,params_lr_phase1,params_lr_phase2,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_phase1,params_weight_decay_phase2,user_attrs_epochs_phase1,user_attrs_epochs_phase2,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_training_time,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,state
15,0.051732998341321945,2026-07-26 12:21:55.494820,2026-07-26 12:48:36.787981,0 days 00:26:41.293161,swish,0.00477615639126551,0.00014005375328091137,4,33,36,100,74.0,,1.0483787186225365e-06,3.652238469703914e-07,1000.0,500.0,1.2500269804149866e-05,0.02506115846335888,0.0038536039646714926,0.051732998341321945,0.0006038782885298133,1599.8722365249996,0.11142241954803467,0.11142241954803467,0.11142241954803467,0.11142241954803467,0.08706344664096832,0.06353934109210968,,COMPLETE
16,0.13332673907279968,2026-07-26 12:48:36.788733,2026-07-26 12:52:20.396242,0 days 00:03:43.607509,swish,0.0009468302683619372,0.00023952389782365286,4,62,58,120,48.0,,0.00024413628451599434,3.3138189003816573e-06,,,,,,,,,0.13332673907279968,,,,,,,PRUNED
17,0.15615318715572357,2026-07-26 12:52:20.396976,2026-07-26 12:53:58.424997,0 days 00:01:38.028021,tanh,0.0023369413555973575,8.79518847133326e-05,4,90,91,68,32.0,,4.919535479856801e-05,2.8002029701973903e-05,,,,,,,,,0.15615318715572357,,,,,,,PRUNED
18,0.13772791624069214,2026-07-26 12:53:58.425701,2026-07-26 12:55:17.977228,0 days 00:01:19.551527,tanh,0.005903937394239026,0.0009753705201925191,3,111,47,47,,,0.0002853149694537087,9.867347248529143e-05,,,,,,,,,0.13772791624069214,,,,,,,PRUNED
19,0.03615766391158104,2026-07-26 12:55:17.978011,2026-07-26 13:26:27.206933,0 days 00:31:09.228922,swish,0.002942944914818127,2.21515763662877e-05,5,64,64,85,47.0,125.0,1.1565513838082003e-05,1.0045018315729216e-07,1000.0,500.0,9.457713531446643e-06,0.014547313563525677,0.0028113978914916515,0.03615766391158104,0.0007227398455142975,1868.9132042420097,0.09263783693313599,0.09263783693313599,0.09263783693313599,0.09263783693313599,0.06747600436210632,0.044463660567998886,,COMPLETE
20,0.181576669216156,2026-07-26 13:26:27.207815,2026-07-26 13:27:12.848903,0 days 00:00:45.641088,tanh,0.003194995447057144,3.795289000859519e-05,5,70,65,42,85.0,125.0,1.1229256490270043e-05,1.5025399484753889e-07,,,,,,,,,0.181576669216156,,,,,,,PRUNED
21,0.035418711602687836,2026-07-26 13:27:12.849447,2026-07-26 13:58:45.366027,0 days 00:31:32.516580,swish,0.0016631643176320428,2.2152793297960627e-05,5,57,81,92,46.0,125.0,2.196663350463671e-06,1.1786777295263298e-07,1000.0,500.0,3.9385759009746835e-05,0.026944128796458244,0.002111332258209586,0.035418711602687836,0.0006363969878293574,1892.2106629050104,0.09567442536354065,0.09567442536354065,0.09567442536354065,0.09567442536354065,0.09567442536354065,0.07862934470176697,0.04082060605287552,COMPLETE
22,0.09981544315814972,2026-07-26 13:58:45.367181,2026-07-26 14:02:55.786730,0 days 00:04:10.419549,swish,0.003120368892856858,1.754183740172012e-05,5,63,43,80,50.0,125.0,3.5491726716608686e-06,1.0779291628832393e-07,,,,,,,,,0.09981544315814972,0.09981544315814972,0.09981544315814972,,,,,PRUNED
23,0.13698643445968628,2026-07-26 14:02:55.787489,2026-07-26 14:07:06.001541,0 days 00:04:10.214052,swish,0.006710338762567071,2.9248051291648915e-05,5,75,60,100,66.0,109.0,2.420335502320695e-06,3.5807188700901904e-07,,,,,,,,,0.13698643445968628,,,,,,,PRUNED
24,0.1176450327038765,2026-07-26 14:07:06.002131,2026-07-26 14:11:17.467548,0 days 00:04:11.465417,swish,0.0007606794572046118,1.5538880193343646e-05,5,59,65,69,47.0,104.0,1.1604503517517719e-05,1.0408251952057391e-07,,,,,,,,,0.1176450327038765,,,,,,,PRUNED
25,0.12209586054086685,2026-07-26 14:11:17.468112,2026-07-26 14:15:34.401859,0 days 00:04:16.933747,swish,0.001456043640049662,8.97742018035779e-05,5,88,75,114,63.0,106.0,4.474574012986302e-05,3.1915181636867e-07,,,,,,,,,0.12209586054086685,,,,,,,PRUNED
26,0.11729680746793747,2026-07-26 14:15:34.402507,2026-07-26 14:19:47.149397,0 days 00:04:12.746890,swish,0.0024432111500420554,3.429123118487591e-05,5,94,54,96,44.0,127.0,8.813439921520975e-05,2.3695133253984126e-07,,,,,,,,,0.11729680746793747,0.11729680746793747,,,,,,PRUNED
27,0.04684613645076752,2026-07-26 14:19:47.150071,2026-07-26 14:36:21.397662,0 days 00:16:34.247591,swish,0.0038037780263708697,6.048915208392873e-05,5,55,41,85,41.0,96.0,1.194200599436473e-05,6.203752883626141e-07,,,,,,,,,0.07958148419857025,0.07958148419857025,0.07958148419857025,0.07958148419857025,0.057410769164562225,0.04684613645076752,,PRUNED
28,0.12215492129325867,2026-07-26 14:36:21.398319,2026-07-26 14:38:12.179336,0 days 00:01:50.781017,tanh,0.009931008991483732,1.4100363079962878e-05,5,114,90,63,55.0,114.0,2.0771556463840067e-06,1.065751750300326e-07,,,,,,,,,0.12215492129325867,,,,,,,PRUNED
29,0.21988053619861603,2026-07-26 14:38:12.179930,2026-07-26 14:40:05.774994,0 days 00:01:53.595064,tanh,0.00018143529226368027,9.643624844977284e-05,5,77,49,80,73.0,94.0,3.5860206714963488e-06,1.0339881487874067e-06,,,,,,,,,0.21988053619861603,,,,,,,PRUNED
