number,value,datetime_start,datetime_complete,duration,params_activation,params_lr_phase1,params_lr_phase2,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_phase1,params_weight_decay_phase2,user_attrs_epochs_phase1,user_attrs_epochs_phase2,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_training_time,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,state
14,0.0019387865904718637,2026-07-31 14:59:10.492254,2026-07-31 15:01:42.588621,0 days 00:02:32.096367,tanh,0.005550848532063986,0.00010959436125502132,4,107,74,43,99.0,,0.0005785117571321533,2.216379735224957e-06,,,,,,,,,0.00021702918456867337,0.00021702918456867337,0.00021702918456867337,0.00021702918456867337,8.200338197639212e-05,0.0019387865904718637,,PRUNED
15,0.0006138912285678089,2026-07-31 15:01:42.589156,2026-07-31 15:02:21.402370,0 days 00:00:38.813214,tanh,0.0029705503722746445,0.00022209745474633882,4,68,51,71,56.0,,1.923485200095992e-05,3.9565348013078543e-07,,,,,,,,,0.0006138912285678089,0.0006138912285678089,,,,,,PRUNED
16,0.0008840244263410568,2026-07-31 15:02:21.402868,2026-07-31 15:03:00.637519,0 days 00:00:39.234651,tanh,0.0019404556750169852,8.518045813715195e-05,4,71,63,32,92.0,,0.00024413628451599434,2.742643425864653e-05,,,,,,,,,0.0008840244263410568,,,,,,,PRUNED
17,0.001130959251895547,2026-07-31 15:03:00.638039,2026-07-31 15:03:38.515944,0 days 00:00:37.877905,tanh,0.008517813930633073,2.8122493219168445e-05,4,109,86,68,120.0,,6.918957739147811e-05,2.535565239098582e-06,,,,,,,,,0.001130959251895547,,,,,,,PRUNED
18,0.002902925480157137,2026-07-31 15:03:38.516462,2026-07-31 15:04:37.705652,0 days 00:00:59.189190,swish,0.0052640618407547544,0.0009592918361176496,3,83,44,128,,,1.3807680378895844e-05,3.5764360532419674e-07,,,,,,,,,0.002902925480157137,,,,,,,PRUNED
19,2.3001724912319332e-05,2026-07-31 15:04:37.706188,2026-07-31 15:10:10.184470,0 days 00:05:32.478282,tanh,0.002666431301943619,0.0002603220321760483,5,97,59,42,50.0,125.0,0.00033822696314776246,1.0203251514647713e-06,1000.0,500.0,5.945831844655913e-07,2.5366414774907753e-05,1.148412849261149e-07,2.3001724912319332e-05,6.197189122758573e-06,332.191438681999,0.00027751526795327663,0.00027751526795327663,0.00027751526795327663,0.00027751526795327663,0.00027751526795327663,0.0001188223686767742,4.938816709909588e-05,COMPLETE
20,0.0009122854680754244,2026-07-31 15:10:10.185236,2026-07-31 15:10:57.183972,0 days 00:00:46.998736,tanh,0.0011848471590717306,0.0002948194004332278,5,94,42,45,49.0,125.0,0.0003561354616200421,9.302954612531535e-07,,,,,,,,,0.0009122854680754244,,,,,,,PRUNED
21,2.3650198272662237e-05,2026-07-31 15:10:57.184510,2026-07-31 15:16:17.759295,0 days 00:05:20.574785,tanh,0.002805299769872407,0.0001370101767859478,5,114,55,41,33.0,125.0,0.0009951314028231262,4.740970429623777e-06,1000.0,500.0,3.349031771904265e-07,2.8645634301938117e-05,1.2422582074123056e-07,2.3650198272662237e-05,6.4106061472557485e-06,320.35693376998825,0.00037798413541167974,0.00037798413541167974,0.00037798413541167974,9.886619955068454e-05,6.617765757255256e-05,,,COMPLETE
22,0.0006179892807267606,2026-07-31 15:16:17.760004,2026-07-31 15:17:05.386994,0 days 00:00:47.626990,tanh,0.0027431215891034664,0.0002565435518324874,5,111,55,43,32.0,125.0,0.0008407088147693014,6.238811029290936e-06,,,,,,,,,0.0006179892807267606,,,,,,,PRUNED
23,0.0004602454137057066,2026-07-31 15:17:05.387519,2026-07-31 15:17:52.655358,0 days 00:00:47.267839,tanh,0.001852928826878383,0.00047373345639657136,5,119,71,53,46.0,109.0,0.000501608443007052,3.728175482556214e-06,,,,,,,,,0.0004602454137057066,0.0004602454137057066,0.0004602454137057066,,,,,PRUNED
24,0.00014881558308843523,2026-07-31 15:17:52.655953,2026-07-31 15:19:25.097162,0 days 00:01:32.441209,tanh,0.0031886101257454806,0.0001619675013989612,5,95,45,65,39.0,104.0,0.00024985268312025693,3.683140515793549e-07,,,,,,,,,0.000286930677248165,0.000286930677248165,0.000286930677248165,0.00014881558308843523,,,,PRUNED
25,0.0010404321365058422,2026-07-31 15:19:25.097728,2026-07-31 15:20:06.021524,0 days 00:00:40.923796,tanh,0.0012539671731770312,7.104653597452909e-05,5,118,59,50,56.0,106.0,0.0009714559303584124,2.4730787656251574e-05,,,,,,,,,0.0010404321365058422,,,,,,,PRUNED
26,0.0003825481981039047,2026-07-31 15:20:06.022229,2026-07-31 15:21:47.148706,0 days 00:01:41.126477,swish,0.006161759481536406,0.00037446295461440233,5,100,80,40,69.0,127.0,0.00011426722995609664,1.2469496271196556e-07,,,,,,,,,0.0003825481981039047,0.0003825481981039047,0.0003825481981039047,,,,,PRUNED
27,0.004614174831658602,2026-07-31 15:21:47.149210,2026-07-31 15:22:27.999240,0 days 00:00:40.850030,tanh,0.000836849215631934,0.00021300729965152912,5,90,38,61,49.0,96.0,0.00036051577916444396,1.0728085558841448e-06,,,,,,,,,0.004614174831658602,,,,,,,PRUNED
28,0.0004978552460670471,2026-07-31 15:22:27.999785,2026-07-31 15:23:12.177107,0 days 00:00:44.177322,tanh,0.0022522738269331833,9.609559100981676e-05,5,103,52,50,37.0,114.0,7.623770477524231e-05,2.327803311457581e-07,,,,,,,,,0.0004978552460670471,0.0004978552460670471,,,,,,PRUNED
29,0.0631740465760231,2026-07-31 15:23:12.177643,2026-07-31 15:23:56.326759,0 days 00:00:44.149116,tanh,0.00018143529226368027,0.00015115834201866697,5,118,65,80,53.0,94.0,0.00023357144954289902,6.180148522598072e-07,,,,,,,,,0.0631740465760231,,,,,,,PRUNED
