number,value,datetime_start,datetime_complete,duration,params_activation,params_lr_phase1,params_lr_phase2,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_phase1,params_weight_decay_phase2,user_attrs_epochs_phase1,user_attrs_epochs_phase2,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_training_time,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,state
16,0.34175360202789307,2026-07-31 14:02:18.344876,2026-07-31 14:03:35.478935,0 days 00:01:17.134059,tanh,0.005833369208814366,7.803511669278675e-05,4,108,77,45,124.0,,6.534932975325258e-05,1.7879088211630125e-05,,,,,,,,,0.5072805285453796,0.5072805285453796,0.5072805285453796,0.5072805285453796,0.5072805285453796,0.34175360202789307,,PRUNED
17,0.6804301738739014,2026-07-31 14:03:35.479631,2026-07-31 14:04:05.181774,0 days 00:00:29.702143,tanh,0.0027518982251189556,2.4300699661680617e-05,3,64,69,63,,,1.0516986507532853e-05,5.556040081035785e-07,,,,,,,,,0.6804301738739014,,,,,,,PRUNED
18,0.6891146898269653,2026-07-31 14:04:05.182325,2026-07-31 14:05:33.562651,0 days 00:01:28.380326,swish,0.0013173947450456967,0.0009606261224252248,4,88,48,42,55.0,,4.249973885664439e-05,3.164583691589958e-05,,,,,,,,,0.6891146898269653,,,,,,,PRUNED
19,0.6596686840057373,2026-07-31 14:05:33.563215,2026-07-31 14:06:05.343632,0 days 00:00:31.780417,tanh,0.009827674611457336,7.508063244870837e-05,3,113,90,69,,,0.00033975249718235965,4.5548971093535e-06,,,,,,,,,0.6596686840057373,,,,,,,PRUNED
20,0.6150625944137573,2026-07-31 14:06:05.344168,2026-07-31 14:06:44.092977,0 days 00:00:38.748809,tanh,0.003227256529161389,1.0069141253237132e-05,4,63,32,57,77.0,,5.074966820903748e-06,1.0634793259454475e-06,,,,,,,,,0.6150625944137573,0.6150625944137573,,,,,,PRUNED
21,0.8740116357803345,2026-07-31 14:06:44.093466,2026-07-31 14:07:30.852455,0 days 00:00:46.758989,tanh,0.00021830338575819802,0.0005984416905658185,5,37,94,78,38.0,125.0,5.80627323347665e-06,9.339167381850725e-06,,,,,,,,,0.8740116357803345,,,,,,,PRUNED
22,1.101963996887207,2026-07-31 14:07:30.853006,2026-07-31 14:08:12.167118,0 days 00:00:41.314112,tanh,0.00010651193715901657,0.0002588702203010174,5,36,58,80,48.0,127.0,3.1007423093170587e-06,2.6443778103385005e-05,,,,,,,,,1.101963996887207,,,,,,,PRUNED
23,1.036738395690918,2026-07-31 14:08:12.167655,2026-07-31 14:08:55.709475,0 days 00:00:43.541820,tanh,0.0001721450414002607,0.0009036751662605277,5,54,96,51,34.0,84.0,9.654519054977196e-06,3.4819154719382224e-06,,,,,,,,,1.036738395690918,,,,,,,PRUNED
24,0.8459375500679016,2026-07-31 14:08:55.710057,2026-07-31 14:09:41.353442,0 days 00:00:45.643385,tanh,0.0006490061647194816,0.00019287511239386845,5,33,72,71,50.0,32.0,1.7812860998748306e-05,8.588699864143072e-06,,,,,,,,,0.8459375500679016,,,,,,,PRUNED
25,0.6975489854812622,2026-07-31 14:09:41.353976,2026-07-31 14:10:16.430464,0 days 00:00:35.076488,tanh,0.001000875312235328,0.00011126496409601119,4,59,43,98,45.0,,3.833382755221475e-05,2.2799860482735908e-06,,,,,,,,,0.6975489854812622,,,,,,,PRUNED
26,0.7625157833099365,2026-07-31 14:10:16.430996,2026-07-31 14:11:41.828593,0 days 00:01:25.397597,swish,0.00027904495545105757,4.250695215446151e-05,4,82,88,52,61.0,,7.841997030033946e-06,3.0610489983254186e-07,,,,,,,,,0.7625157833099365,,,,,,,PRUNED
27,0.6692919135093689,2026-07-31 14:11:41.829132,2026-07-31 14:12:11.439260,0 days 00:00:29.610128,tanh,0.001980448859654978,0.00046108708807882337,3,68,100,41,,,2.243294903889367e-06,4.3170738485128614e-05,,,,,,,,,0.6692919135093689,,,,,,,PRUNED
28,0.543765664100647,2026-07-31 14:12:11.439817,2026-07-31 14:12:57.820022,0 days 00:00:46.380205,tanh,0.005519769069709485,1.5090290742829625e-05,5,45,56,64,71.0,102.0,0.00011295381654677345,8.861054319827119e-05,,,,,,,,,0.543765664100647,0.543765664100647,,,,,,PRUNED
29,0.6888179779052734,2026-07-31 14:12:57.820551,2026-07-31 14:13:45.197700,0 days 00:00:47.377149,tanh,0.0006720940464224679,0.00018739712829689872,5,56,48,59,32.0,55.0,3.0838455841251294e-06,9.428386223990838e-07,,,,,,,,,0.6888179779052734,,,,,,,PRUNED
