number,value,datetime_start,datetime_complete,duration,params_activation,params_lbfgs_memory,params_lbfgs_tol,params_lr_adamw,params_n_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,params_units_layer_3,params_units_layer_4,params_weight_decay_adamw,user_attrs_final_bc,user_attrs_final_data,user_attrs_final_ic,user_attrs_final_loss,user_attrs_final_pde,user_attrs_lbfgs_loss_evaluations,user_attrs_lbfgs_n_iter,user_attrs_lbfgs_nfev_grad,user_attrs_lbfgs_nfev_plain,user_attrs_lbfgs_status,user_attrs_training_time,state
13,5.9602372341867905e-05,2026-08-01 07:12:30.431435,2026-08-01 07:22:31.065643,0 days 00:10:00.634208,swish,20,2.9601646865227025e-09,0.002881838632933024,4,111,33,34,128.0,,1.0641537409035755e-07,1.00553700719587e-06,5.4403562219379776e-05,7.116803170182836e-07,5.9602372341867905e-05,2.025610302601583e-05,62,3,4,57,line search failed to satisfy strong Wolfe on iteration 3 (consider float64),600.2383095069963,COMPLETE
14,8.914628977506125e-05,2026-08-01 07:22:31.101224,2026-08-01 07:32:38.270872,0 days 00:10:07.169648,swish,18,7.34086745651378e-09,0.009804595459120161,4,113,52,39,105.0,,4.5659610225130355e-07,1.9343713363058914e-06,9.251396410957241e-05,1.1987693698932388e-06,8.914628977506125e-05,2.1229757339813203e-05,67,5,6,60,line search failed to satisfy strong Wolfe on iteration 5 (consider float64),606.7361488770111,COMPLETE
15,6.356222798211734e-05,2026-08-01 07:32:38.279466,2026-08-01 07:42:27.992075,0 days 00:09:49.712609,swish,18,7.087963161648779e-10,0.0034275562635153974,4,113,64,44,110.0,,4.215667530736641e-07,1.2033889434597839e-06,4.83284936482097e-05,1.3564312122638937e-06,6.356222798211734e-05,1.9816724318074643e-05,40,3,4,35,line search failed to satisfy strong Wolfe on iteration 3 (consider float64),589.2804919490009,COMPLETE
16,0.00012466864708995815,2026-08-01 07:42:27.998274,2026-08-01 07:52:25.404715,0 days 00:09:57.406441,swish,13,6.6349405244116976e-09,0.0015793953371959853,4,119,41,32,92.0,,2.791653870620095e-07,4.603001747249882e-06,7.251561305851727e-05,2.6062597822840584e-06,0.00012466864708995815,3.933323400160953e-05,55,3,4,50,line search failed to satisfy strong Wolfe on iteration 3 (consider float64),596.9958717130066,COMPLETE
17,6.57755090475669e-05,2026-08-01 07:52:25.440634,2026-08-01 08:02:35.369681,0 days 00:10:09.929047,swish,18,7.429708749371189e-10,0.001180565082206403,4,102,59,68,119.0,,1.4849005837732323e-06,2.6322348414542617e-06,6.473650947388609e-05,1.0431075686809664e-06,6.57755090475669e-05,9.815004416542885e-06,87,11,12,74,line search failed to satisfy strong Wolfe on iteration 11 (consider float64),609.5077844210027,COMPLETE
18,0.0001380620836352316,2026-08-01 08:02:35.406275,2026-08-01 08:10:03.915641,0 days 00:07:28.509366,swish,20,4.767888795794937e-10,0.005165659195751525,3,98,33,128,,,1.74057977231196e-07,2.240229796385967e-06,0.00010824775103652202,2.6164581417605313e-06,0.0001380620836352316,4.657247771743545e-05,38,3,4,33,line search failed to satisfy strong Wolfe on iteration 3 (consider float64),448.094561720005,COMPLETE
19,6.410676426820012e-05,2026-08-01 08:10:03.953401,2026-08-01 08:22:11.108551,0 days 00:12:07.155150,swish,12,1.4619449559608947e-07,0.0023482397096247745,5,78,82,45,91.0,125.0,7.059000338561136e-07,8.474155683326981e-07,4.65833483947984e-05,1.0188496312899506e-06,6.410676426820012e-05,2.638951591623792e-05,28,0,1,26,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),726.7176824760099,COMPLETE
20,0.00022130775027123572,2026-08-01 08:22:11.146037,2026-08-01 08:32:18.692061,0 days 00:10:07.546024,swish,18,5.331377015195855e-09,0.0008219296930618504,4,121,40,69,113.0,,7.572849695261556e-06,1.7918932649364764e-05,5.568060208205078e-05,4.382953188095715e-06,0.00022130775027123572,6.0043254102429366e-05,82,2,3,78,line search failed to satisfy strong Wolfe on iteration 2 (consider float64),607.1237031689961,COMPLETE
21,0.00011334436050933257,2026-08-01 08:32:18.730897,2026-08-01 08:41:56.404988,0 days 00:09:37.674091,swish,20,2.333001187396026e-09,0.002512863329499879,4,109,33,38,128.0,,1.3030133773607163e-07,5.479118196025935e-06,6.337658999062475e-05,1.8025093678315603e-06,0.00011334436050933257,3.623538085557491e-05,19,0,1,17,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),577.2544828929822,COMPLETE
22,4.983393085672709e-05,2026-08-01 08:41:56.441266,2026-08-01 08:51:50.513011,0 days 00:09:54.071745,swish,19,3.518670174133374e-09,0.0030394743117802448,4,119,42,32,119.0,,1.0101159959278246e-07,1.4805313463525352e-06,5.1546028398235854e-05,5.06352906883235e-07,4.983393085672709e-05,1.1594730857014134e-05,44,0,1,42,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),593.6527130150062,COMPLETE
23,4.5740635899114004e-05,2026-08-01 08:51:50.548449,2026-08-01 09:01:29.294272,0 days 00:09:38.745823,swish,19,1.703704861986987e-08,0.00420320565662274,4,122,54,42,119.0,,1.0107417221169982e-06,7.312721037534655e-07,4.704206265250272e-05,3.983016721413451e-07,4.5740635899114004e-05,1.4580227332681867e-05,16,0,1,14,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),578.2548408670118,COMPLETE
24,8.365795086897346e-05,2026-08-01 09:01:29.330534,2026-08-01 09:11:29.547456,0 days 00:10:00.216922,swish,17,1.676097659043768e-08,0.006516644765486707,4,119,57,51,100.0,,9.988226493903068e-07,4.905060574899544e-06,5.651638656402485e-05,1.1645995799504515e-06,8.365795086897346e-05,1.9228458912958798e-05,52,2,3,48,line search failed to satisfy strong Wolfe on iteration 2 (consider float64),599.7602253319928,COMPLETE
25,5.897707615390501e-05,2026-08-01 09:11:29.553554,2026-08-01 09:21:05.601154,0 days 00:09:36.047600,swish,19,1.4823845806702864e-08,0.003614645113106631,4,104,71,42,117.0,,3.2190995702381693e-07,1.4059511987948413e-06,5.320374676912368e-05,6.72787692096074e-07,5.897707615390501e-05,1.8617569854408217e-05,22,0,1,20,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),575.6404452089919,COMPLETE
26,7.710394139851806e-05,2026-08-01 09:21:05.634988,2026-08-01 09:33:08.371251,0 days 00:12:02.736263,swish,15,1.1618367518180034e-09,0.0019364729654422791,5,92,44,52,95.0,120.0,2.5590668020860594e-07,2.6053977197732957e-06,4.675187700695601e-05,1.4203009540781632e-06,7.710394139851806e-05,2.6498004755391945e-05,28,0,1,26,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),722.3047029149893,COMPLETE
27,0.00014317080307974233,2026-08-01 09:33:08.407880,2026-08-01 09:40:43.723454,0 days 00:07:35.315574,swish,17,2.6828992176655516e-08,0.004264511510793844,3,121,55,43,,,4.5980074604082676e-06,8.962582539496892e-06,8.541542955336835e-05,2.3941197088024007e-06,0.00014317080307974233,3.170897851754968e-05,47,4,5,41,line search failed to satisfy strong Wolfe on iteration 4 (consider float64),454.9037928399921,COMPLETE
28,4.77273792285697e-05,2026-08-01 09:40:43.761529,2026-08-01 09:50:28.297766,0 days 00:09:44.536237,swish,19,1.6341423042057446e-07,0.0069095300050743035,4,116,42,64,81.0,,1.1424948923054263e-06,1.1947999658426785e-06,4.3778763748175055e-05,6.340684054525935e-07,4.77273792285697e-05,1.3523313470742848e-05,18,0,1,16,line search failed to satisfy strong Wolfe on iteration 0 (consider float64),584.1076309380005,COMPLETE
29,6.431149127737531e-05,2026-08-01 09:50:28.333941,2026-08-01 10:00:56.192405,0 days 00:10:27.858464,swish,17,2.3827714264690524e-07,0.009533054443900233,4,92,48,80,73.0,,1.3280009676511001e-05,1.2678799919371769e-06,4.1001269726421864e-05,1.248970579014252e-06,6.431149127737531e-05,2.4981750664335976e-05,116,5,6,109,line search failed to satisfy strong Wolfe on iteration 5 (consider float64),627.4038590310083,COMPLETE
